Wavelength,Flux,BestFit,SkyFlux
4500.907,68.475,70.457,5.989
4501.943,68.746,69.411,5.868
4502.980,69.350,68.934,5.545
4504.017,68.251,70.109,6.179
4505.054,71.717,71.837,6.472
4506.091,76.063,72.511,5.338
4507.129,74.487,72.532,4.657
4508.167,73.299,72.450,5.216
4509.205,73.336,72.128,5.580
4510.244,68.627,71.678,5.861
4511.282,72.058,71.971,4.985
4512.321,73.908,71.940,5.356
4513.360,70.386,71.576,6.071
4514.400,68.891,71.146,5.988
4515.439,72.025,70.650,5.757
4516.479,69.269,70.287,5.630
4517.519,71.670,70.600,5.745
4518.559,69.091,70.568,5.640
4519.600,66.622,69.898,5.512
4520.641,69.610,69.965,5.695
4521.682,68.692,70.631,5.928
4522.723,69.250,70.663,6.145
4523.765,67.881,69.927,6.414
4524.806,63.566,69.929,6.534
4525.848,64.926,69.762,6.433
4526.891,67.542,68.776,6.167
4527.933,71.066,67.667,5.173
4528.976,70.302,66.947,4.918
4530.019,63.076,65.798,6.059
4531.062,64.313,65.589,6.986
4532.105,68.517,66.677,6.548
4533.149,68.140,67.599,5.521
4534.193,67.914,67.426,6.184
4535.237,68.035,66.116,5.459
4536.282,67.019,64.582,5.214
4537.326,65.969,66.041,6.137
4538.371,64.960,68.634,6.862
4539.416,70.039,70.941,6.833
4540.462,72.788,71.999,6.100
4541.507,70.609,71.428,6.134
4542.553,69.099,70.226,6.499
4543.599,68.063,70.493,6.363
4544.645,68.158,70.580,7.300
4545.692,71.524,69.735,7.216
4546.739,71.266,68.796,6.577
4547.786,68.633,68.770,7.034
4548.833,69.990,68.943,6.686
4549.881,66.575,67.193,6.679
4550.928,66.823,65.286,6.449
4551.976,67.294,65.406,6.402
4553.025,69.346,67.346,7.230
4554.073,68.436,69.128,7.210
4555.122,70.258,69.089,6.806
4556.171,65.663,67.435,6.810
4557.220,67.057,67.425,6.647
4558.270,72.417,68.776,5.996
4559.319,72.697,69.877,6.305
4560.369,71.387,70.273,7.361
4561.419,70.806,71.369,7.293
4562.470,71.318,72.535,6.191
4563.520,73.374,71.902,5.756
4564.571,69.520,70.382,6.118
4565.623,66.285,68.949,6.160
4566.674,71.304,68.486,6.201
4567.726,73.541,70.006,5.562
